knee_angle,hip_angle,knee_to_ankle_distance,hip_to_floor_distance,hip_rel_x,hip_rel_y,knee_rel_x,knee_rel_y,ankle_rel_x,ankle_rel_y,thigh_to_floor_angle,thigh_to_floor_angle_smooth,thigh_angle_change,angle_change,descent_score,depth_score,ascent_score,repetition
174.35916930630955,171.68782842217053,0.17927731480113673,0.5516548156738281,-0.0039723217487335205,0.3817285820841789,-0.008041657507419586,0.18048760294914246,0.0,0.0,2.4933344050283495,1.1569988773916222,1.3396463332247635,,97.14285714285714,100.0,77.27272727272727,1
170.1172262538392,168.56030791695144,0.17943399594189932,0.5494572222232819,-0.0008489862084388733,0.3797891438007355,-0.010879725217819214,0.17909914255142212,0.0,0.0,4.923025488130463,2.870622685199695,2.010582712294081,-2.4296910831021137,97.14285714285714,100.0,77.27272727272727,1
164.83662005389394,164.6134763116251,0.17992435391497186,0.5435889661312103,0.0017489716410636902,0.37460676580667496,-0.016756907105445862,0.17914903163909912,0.0,0.0,7.963841541452368,5.441844159705411,1.995774708049936,-3.0408160533219046,97.14285714285714,100.0,77.27272727272727,1
159.60017113536827,160.20043165117426,0.1784505835860011,0.5359689593315125,0.005138330161571503,0.3672458752989769,-0.023781657218933105,0.17725232243537903,0.0,0.0,11.068350205376873,8.672233831276245,3.3460459364982,-3.1045086639245056,97.14285714285714,100.0,77.27272727272727,1
155.23907818299213,156.3941822462416,0.18015256278457997,0.527916431427002,0.007569178938865662,0.360609695315361,-0.02839522808790207,0.17619220912456512,0.0,0.0,13.876329121395102,11.080005980050757,2.2232887968427235,-2.8079789160182287,97.14285714285714,100.0,77.27272727272727,1
149.873048008105,152.4428377178355,0.1836787596570195,0.5238970518112183,0.009934425354003906,0.35516831278800964,-0.03520656377077103,0.17678266763687134,0.0,0.0,16.900475987589914,14.214373860769058,2.472825978051077,-3.024146866194812,97.14285714285714,100.0,77.27272727272727,1
145.5902619701828,148.73425054058464,0.18111375255097625,0.5183070003986359,0.011579945683479309,0.3507973179221153,-0.041640907526016235,0.17721985280513763,0.0,0.0,19.575849341268352,17.061483061712195,2.233892432816674,-2.675373353678438,97.14285714285714,100.0,77.27272727272727,1
141.93370492809402,144.2106417071368,0.17809937557222277,0.5108320415019989,0.014822043478488922,0.342419758439064,-0.045939624309539795,0.17483137547969818,0.0,0.0,22.407149404112673,19.948086043449997,1.939760884145386,-2.8313000628443206,97.14285714285714,100.0,77.27272727272727,1
136.36949671689865,139.20560414755602,0.16746111984464598,0.4873494505882263,0.019352294504642487,0.31833257526159286,-0.04925423115491867,0.16377604007720947,0.0,0.0,25.935714138331733,23.968706043854255,2.338591872894142,-3.52856473421906,97.14285714285714,100.0,77.27272727272727,1
132.17050169125739,135.680479553756,0.1658648047332063,0.4757317304611206,0.020312108099460602,0.30558718740940094,-0.05132412165403366,0.1594281643629074,0.0,0.0,28.64446599088528,26.157314637523626,2.192509835445371,-2.7087518525535472,97.14285714285714,100.0,77.27272727272727,1
127.56643945300166,131.75420585338327,0.16260598788470668,0.4651956558227539,0.021923966705799103,0.29466547071933746,-0.05470713973045349,0.15565232932567596,0.0,0.0,31.637979735005366,28.892111443795102,2.803935841155514,-2.9935137441200865,97.14285714285714,100.0,77.27272727272727,1
124.04213207010125,127.99867567723489,0.16577360105081063,0.4551587700843811,0.02512483298778534,0.2836512476205826,-0.05863695591688156,0.1541931927204132,0.0,0.0,34.55670478338328,32.911284113403724,1.7929811288064528,-2.9187250483779152,97.14285714285714,100.0,77.27272727272727,1
120.2109100425337,124.08476802084434,0.166171332027782,0.4422772526741028,0.02614889293909073,0.2777673155069351,-0.060251057147979736,0.15524320304393768,0.0,0.0,37.97064049012275,35.23590388767039,2.3180938675240554,-3.4139357067394656,97.14285714285714,100.0,77.27272727272727,1
116.245679145841,120.49642916049255,0.16402050139727858,0.42964446544647217,0.027279339730739594,0.26650963723659515,-0.061622463166713715,0.15391859412193298,0.0,0.0,41.44499839248169,38.35875691437824,3.0781562401718574,-3.474357902358946,97.14285714285714,100.0,77.27272727272727,1
112.55915537020857,117.60526762523045,0.15899316505389974,0.417133092880249,0.0283026322722435,0.25264057517051697,-0.062364138662815094,0.150435671210289,0.0,0.0,44.12507780969957,41.642710623198965,1.491153671394791,-2.6800794172178755,97.14285714285714,100.0,77.27272727272727,1
109.78272924053923,114.9389811601455,0.15303028197905869,0.40751421451568604,0.029560498893260956,0.23962180316448212,-0.06286413222551346,0.14465245604515076,0.0,0.0,45.964227283775834,44.23158955776868,1.7610982844812995,-1.8391494740762653,97.14285714285714,100.0,77.27272727272727,1
105.92073491298817,111.44536163888435,0.15179295967193468,0.39528411626815796,0.03142900764942169,0.22929789125919342,-0.06304671615362167,0.13984107971191406,0.0,0.0,49.47174271444935,46.59724846833548,2.7218478386271414,-3.5075154306735143,97.14285714285714,100.0,77.27272727272727,1
101.53702828895644,107.72825114499592,0.14769819783712906,0.38212019205093384,0.03269553929567337,0.2179582118988037,-0.06334682554006577,0.136548712849617,0.0,0.0,52.89632795137449,49.76916053482374,2.9376513537255846,-3.4245852369251395,97.14285714285714,100.0,77.27272727272727,1
96.34901336900197,102.1553197846128,0.1479041365679934,0.3712139129638672,0.033598676323890686,0.20679737627506256,-0.06406352669000626,0.13408711552619934,0.0,0.0,57.56010623955483,53.39303380180158,4.403081820926722,-4.663778288180339,97.14285714285714,100.0,77.27272727272727,1
92.188282096759,97.90175393941949,0.1452056127374822,0.36123377084732056,0.035539768636226654,0.19303002953529358,-0.06508323550224304,0.13212180137634277,0.0,0.0,61.034349323175306,58.82262081330512,2.08469158862367,-3.474243083620479,97.14285714285714,100.0,77.27272727272727,1
88.59274230230886,93.81629408392206,0.14227544320374483,0.350970983505249,0.03672557324171066,0.1858188807964325,-0.06522836536169052,0.12966488301753998,0.0,0.0,64.08378152775593,61.17567483976433,3.448870754181449,-3.0494322045806257,97.14285714285714,100.0,77.27272727272727,1
84.3384656182593,88.66419277496445,0.14092268748724932,0.3393298387527466,0.037682898342609406,0.1762908548116684,-0.06520692259073257,0.1270851343870163,0.0,0.0,68.19182343804722,64.49189272525119,3.134768276420104,-4.108041910291291,97.14285714285714,100.0,77.27272727272727,1
79.6560837220643,82.4540936798702,0.1451784333880098,0.3301612138748169,0.038163430988788605,0.16729967296123505,-0.06525074690580368,0.12742866575717926,0.0,0.0,73.45544710614219,68.96744952835269,4.289974698547979,-5.263623668094965,97.14285714285714,100.0,77.27272727272727,1
74.55901722764838,77.4300399240014,0.14498332225836652,0.32032883167266846,0.03844065219163895,0.15931463241577148,-0.06558851152658463,0.12911272048950195,0.0,0.0,78.38992201129916,73.84804507258076,4.008583246011696,-4.934474905156975,97.14285714285714,100.0,77.27272727272727,1
70.21309791813837,73.31095645515848,0.14023785353955118,0.3108328580856323,0.03965240716934204,0.1492902934551239,-0.0657440647482872,0.1273343712091446,0.0,0.0,81.89557116276565,78.23741561376163,3.6127406470714476,-3.5056491514664856,97.14285714285714,100.0,77.27272727272727,1
68.82998088884978,71.73068927480742,0.14007912129926947,0.3084729313850403,0.040376126766204834,0.14369773864746094,-0.06569352000951767,0.12590481340885162,0.0,0.0,83.34227051897811,80.47764855218429,1.4466993562124628,-1.4466993562124628,97.14285714285714,100.0,77.27272727272727,1
63.99196791383088,66.7659383870409,0.13967811890786228,0.29902082681655884,0.04130258411169052,0.1377120465040207,-0.06534245610237122,0.1245935708284378,0.0,0.0,88.49151450115835,83.00304667464908,5.149243982180238,-5.149243982180238,97.14285714285714,100.0,77.27272727272727,1
60.35786688984543,62.629381346432105,0.14118673375042384,0.2931944727897644,0.04401819407939911,0.12425602972507477,-0.06466781347990036,0.12515756487846375,0.0,0.0,87.66117357917949,87.48820321275973,1.2701324321440666,0.8303409219788591,97.14285714285714,100.0,77.27272727272727,1
55.59272415929761,59.650863713952724,0.140737196766001,0.28471535444259644,0.044492095708847046,0.12049664556980133,-0.06485454738140106,0.12535874545574188,0.0,0.0,83.22757106150854,86.17221735284727,4.433602517670948,4.433602517670948,97.14285714285714,100.0,77.27272727272727,1
53.64882453588662,57.35742879336598,0.1393336362413806,0.2823985815048218,0.0445098951458931,0.11456876993179321,-0.06496032327413559,0.12474192678928375,0.0,0.0,81.53297551560344,84.70319032583171,1.694595545905102,1.694595545905102,97.14285714285714,100.0,77.27272727272727,1
50.4277493035816,54.46137150311366,0.1376542205546052,0.2785035967826843,0.044411227107048035,0.10625995695590973,-0.06500913202762604,0.12302511930465698,0.0,0.0,78.41058952624081,81.2939983227336,3.5942676613408224,3.122385989362627,97.14285714285714,100.0,77.27272727272727,1
47.55645728023537,52.073156611032694,0.1364529367541526,0.2703799605369568,0.043428935110569,0.09582963585853577,-0.0651608258485794,0.1194523423910141,0.0,0.0,76.23409428834421,77.72693617493954,1.5505108759751636,2.176495237896603,97.14285714285714,100.0,77.27272727272727,1
53.69130331583901,57.59688349387798,0.13561806720285888,0.28031378984451294,0.041700683534145355,0.0989084541797638,-0.0653526559472084,0.11913056671619415,0.0,0.0,82.36822541215415,79.30731184499582,3.760543112297057,-6.1341311238099365,97.14285714285714,100.0,77.27272727272727,1
55.013761125018924,59.03866969236061,0.13545209106302877,0.28280895948410034,0.04200189560651779,0.10160951316356659,-0.06532751023769379,0.11898371577262878,0.0,0.0,83.92716621936322,80.80900812724555,1.5589408072090691,-1.5589408072090691,97.14285714285714,100.0,77.27272727272727,1
59.80173693616735,63.738523134527895,0.133106219737603,0.2906113266944885,0.042140185832977295,0.10595683753490448,-0.06532278656959534,0.11817421019077301,0.0,0.0,89.23551829175553,83.5346480557825,5.30835207239231,-5.30835207239231,97.14285714285714,100.0,77.27272727272727,1
69.17457490277593,73.37296573229554,0.1308683518124537,0.30661243200302124,0.04231180250644684,0.11762110888957977,-0.06536122411489487,0.11573274433612823,0.0,0.0,80.94939798257161,85.5885487643033,7.292714580951241,8.286120309183914,97.14285714285714,100.0,77.27272727272727,1
77.92997506941867,81.76346284445712,0.13189029448208497,0.3241650462150574,0.04289823770523071,0.1329488754272461,-0.06515771895647049,0.11436407268047333,0.0,0.0,72.45039310486254,80.36945974354241,7.385542218350068,8.49900487770907,97.14285714285714,100.0,77.27272727272727,1
85.51918325417262,87.45492461341357,0.13907039534765522,0.3395289182662964,0.04490930587053299,0.15587744116783142,-0.06415317952632904,0.11922961473464966,0.0,0.0,67.3839416338343,71.45905460150534,6.026750675061663,5.066451471028245,97.14285714285714,100.0,77.27272727272727,1
93.75682214065904,94.5483028126562,0.1438806283658782,0.35737407207489014,0.04532808065414429,0.17109955847263336,-0.06296509504318237,0.12525318562984467,0.0,0.0,60.59733047821939,67.17369557738616,6.705487410375625,6.7866111556149065,97.14285714285714,100.0,77.27272727272727,1
96.44260745258532,97.851738388487,0.15065062730462622,0.3681977391242981,0.04441940784454346,0.18805761635303497,-0.06225326657295227,0.1316872537136078,0.0,0.0,59.23338238487418,62.2007782689037,2.4361999390519955,1.3639480933452077,97.14285714285714,100.0,77.27272727272727,1
100.23593815825757,101.90114399455747,0.1567213002681301,0.38316112756729126,0.042389288544654846,0.20186468958854675,-0.062170468270778656,0.13851219415664673,0.0,0.0,56.25579752529258,58.80182635136227,1.7927456460635725,2.9775848595816043,97.14285714285714,100.0,77.27272727272727,1
104.59103566270335,106.59905728900094,0.16105800331162934,0.39769959449768066,0.04009309411048889,0.2144920974969864,-0.06242361664772034,0.14433495700359344,0.0,0.0,52.53357411499374,55.64302261638977,3.200601538922875,3.722223410298838,97.14285714285714,100.0,77.27272727272727,1
111.890783791356,113.6766102569122,0.16325199249711872,0.4193301796913147,0.03752095252275467,0.22883020341396332,-0.06234404444694519,0.148819699883461,0.0,0.0,46.03847153063232,51.40676858620675,5.282381514652023,6.495102584361419,97.14285714285714,100.0,77.27272727272727,1
113.92291578669051,116.1363169255571,0.1630153280486032,0.4250774383544922,0.036135196685791016,0.23727263510227203,-0.06198929250240326,0.15007874369621277,0.0,0.0,44.07561145456032,48.492127536367676,1.9628600760720047,1.9628600760720047,97.14285714285714,100.0,77.27272727272727,1
118.4471715642292,119.88708549527809,0.1656768436554124,0.44242775440216064,0.03493266552686691,0.24672576785087585,-0.06120476871728897,0.15163984894752502,0.0,0.0,40.51710368127499,45.488009927937995,3.558507773285328,3.558507773285328,97.14285714285714,100.0,77.27272727272727,1
124.55669532917767,125.57933585535508,0.17071910898869988,0.4590986967086792,0.03276580572128296,0.265304371714592,-0.05912920832633972,0.15541020035743713,0.0,0.0,35.96233330032516,39.98430616688905,3.419842931070555,4.554770380949826,97.14285714285714,100.0,77.27272727272727,1
132.47039446479312,130.76825844319373,0.17512823013226442,0.4777350425720215,0.030266471207141876,0.2831345200538635,-0.05579398572444916,0.1612372100353241,0.0,0.0,30.592993378223007,35.30236267657202,4.678954418121172,5.3693399221021565,97.14285714285714,100.0,77.27272727272727,1
136.9213083068437,137.15320929612628,0.1726585749469656,0.48574352264404297,0.026192739605903625,0.3037099838256836,-0.05091964453458786,0.1653749942779541,0.0,0.0,26.63728619444788,29.149870700843714,3.085855978408503,3.955707183775125,97.14285714285714,100.0,77.27272727272727,1
142.3512088649995,140.88791392989853,0.17471645156312715,0.5095311999320984,0.023505128920078278,0.3102744072675705,-0.048381611704826355,0.1655217409133911,0.0,0.0,23.141670168569206,26.46202229894749,3.204320491347268,3.4956160258786753,97.14285714285714,100.0,77.27272727272727,1
